ID,sleep_hours,inbed_hours,sleep_efficiency,Steps,Distance_miles,Calories_burned,time_sedentary_mins,Day
p11,1.65,1.7333333333333334,0.9519230769230769,11009,9.10000038146973,3274,1017,7
p11,5.483333333333333,5.633333333333334,0.9733727810650887,10181,7.82999992370605,3015,704,8
p11,7.016666666666667,7.516666666666667,0.9334811529933481,10553,8.11999988555908,3083,696,9
p11,7.366666666666666,7.633333333333334,0.9650655021834061,10055,7.73000001907349,3069,853,10
p11,1.3666666666666667,1.4166666666666667,0.9647058823529412,12139,9.34000015258789,3544,945,11
p11,7.966666666666667,8.35,0.9540918163672655,13236,10.1800003051758,3306,749,12
p11,9.2,9.916666666666666,0.9277310924369748,10243,7.88000011444092,2885,584,13
p11,5.316666666666666,5.766666666666667,0.9219653179190751,9461,7.28000020980835,2929,673,15
p11,7.316666666666666,8.333333333333334,0.878,11193,8.60999965667725,3074,684,16
p11,7.133333333333334,7.633333333333334,0.9344978165938864,10074,7.75,2969,878,17
p11,6.816666666666666,7.166666666666667,0.9511627906976744,12533,9.64000034332275,3283,537,19
p11,9.116666666666667,9.95,0.916247906197655,10255,7.8899998664856,2926,579,20
p11,6.133333333333334,6.266666666666667,0.9787234042553191,10096,8.39999961853027,3147,935,21
p11,6.5,6.9,0.9420289855072463,12375,9.52000045776367,3162,632,23
p11,7.85,8.25,0.9515151515151515,9603,7.38000011444092,2899,896,24
p11,7.85,8.25,0.9515151515151515,9603,7.38000011444092,2899,896,24
p11,7.866666666666666,8.266666666666667,0.9516129032258065,22770,17.5400009155273,4022,508,26
p11,8.816666666666666,9.016666666666667,0.977818853974122,17298,14.3800001144409,3934,576,27
p11,1.0333333333333334,1.0833333333333333,0.9538461538461539,10218,7.8600001335144,3013,1020,28
p11,5.9,6.25,0.944,10299,7.92000007629395,3061,648,29
p11,7.816666666666666,8.233333333333333,0.9493927125506073,10201,7.84000015258789,2954,858,30
p12,7.15,7.616666666666666,0.9387308533916849,3276,2.20000004768372,2113,787,1
p12,6.166666666666667,6.766666666666667,0.9113300492610837,2961,1.99000000953674,2095,840,2
p12,7.35,8.2,0.8963414634146342,3974,2.67000007629395,2194,717,3
p12,5.616666666666666,6.316666666666666,0.8891820580474934,7198,4.82999992370605,2496,711,4
p12,7.7,8.316666666666666,0.9258517034068137,3945,2.65000009536743,2180,716,5
p12,1.6333333333333333,1.7833333333333334,0.9158878504672897,2268,1.51999998092651,1933,1219,6
p12,6.466666666666667,7.066666666666666,0.9150943396226415,2064,1.38999998569489,1954,895,8
p12,7.316666666666666,7.7,0.9502164502164502,2072,1.38999998569489,1974,841,9
p12,7.266666666666667,7.816666666666666,0.929637526652452,3809,2.55999994277954,2150,756,10
p12,6.466666666666667,6.95,0.9304556354916067,6831,4.57999992370605,2432,706,11
p12,5.466666666666667,5.75,0.9507246376811594,3385,2.26999998092651,2070,916,14
p12,5.883333333333334,6.516666666666667,0.9028132992327366,6326,4.40999984741211,2291,839,15
p12,5.533333333333333,6.233333333333333,0.8877005347593583,7243,5.03000020980835,2361,839,16
p12,6.983333333333333,7.366666666666666,0.9479638009049773,4493,3.00999999046326,2203,762,17
p12,1.7666666666666666,1.8,0.9814814814814815,4676,3.14000010490417,2196,1106,18
p12,5.366666666666666,5.883333333333334,0.9121813031161473,6222,4.17999982833862,2363,797,19
p12,7.316666666666666,7.65,0.9564270152505446,5232,3.50999999046326,2246,741,20
p12,8.366666666666667,9.033333333333333,0.9261992619926199,6910,4.75,2336,667,21
p12,6.95,7.5,0.9266666666666666,7502,5.17999982833862,2421,725,22
p12,5.616666666666666,6.05,0.928374655647383,2923,1.96000003814697,2070,897,23
p12,7.7,8.55,0.9005847953216374,3800,2.54999995231628,2120,734,24
p12,6.233333333333333,6.7,0.9303482587064676,4514,3.02999997138977,2211,809,25
p12,6.683333333333334,7.266666666666667,0.9197247706422018,5183,3.58999991416931,2123,866,26
p12,6.016666666666667,6.516666666666667,0.9232736572890026,7303,4.90000009536743,2423,733,27
p12,7.616666666666666,8.883333333333333,0.8574108818011257,5275,3.53999996185303,2281,641,28
p12,6.75,7.1,0.9507042253521126,3915,2.63000011444092,2181,783,29
p12,8.316666666666666,8.833333333333334,0.9415094339622642,9105,6.1100001335144,2499,622,30
p12,8.05,8.35,0.9640718562874252,768,0.519999980926514,1212,380,31
p13,2.1,2.283333333333333,0.9197080291970803,13743,9.07999992370605,2486,844,10
p13,1.7166666666666666,2.0166666666666666,0.8512396694214877,9148,6.05000019073486,2223,1062,15
p13,2.85,2.9833333333333334,0.9553072625698324,7833,5.17999982833862,1918,1096,18
p13,1.9166666666666667,2.15,0.8914728682170543,3428,2.26999998092651,1692,1121,20
p13,2.05,2.2333333333333334,0.917910447761194,6543,4.32999992370605,2666,1019,27
p14,7.083333333333333,7.316666666666666,0.9681093394077449,7213,5.88000011444092,2947,718,1
p14,6.666666666666667,7.166666666666667,0.9302325581395349,6877,5.57999992370605,2898,777,2
p14,6.4,6.916666666666667,0.9253012048192771,7860,6.36999988555908,2984,772,3
p14,4.216666666666667,4.283333333333333,0.9844357976653697,6506,5.28000020980835,2896,944,4
p14,6.366666666666666,6.766666666666667,0.9408866995073891,11140,9.02999973297119,3328,556,5
p14,9.85,10.2,0.9656862745098039,12692,10.289999961853,3394,437,6
p14,4.883333333333334,5.2,0.9391025641025641,9105,7.38000011444092,3013,890,7
p14,7.616666666666666,8.116666666666667,0.9383983572895277,6708,5.44000005722046,2812,757,8
p14,7.566666666666666,7.8,0.9700854700854701,8793,7.13000011444092,3061,717,9
p14,7.083333333333333,7.233333333333333,0.9792626728110599,6530,5.30000019073486,2729,901,10
p14,7.75,7.916666666666667,0.9789473684210527,15126,12.2700004577637,3691,469,12
p14,8.0,8.433333333333334,0.9486166007905138,15050,12.2200002670288,3538,542,13
p14,6.166666666666667,6.333333333333333,0.9736842105263158,9167,7.42999982833862,3064,730,14
p14,7.016666666666667,7.15,0.9813519813519813,6108,4.94999980926514,2784,765,15
p14,7.2,7.483333333333333,0.9621380846325167,7047,5.71999979019165,2908,733,16
p14,7.366666666666666,7.683333333333334,0.9587852494577006,9023,7.32000017166138,3033,738,17
p14,7.216666666666667,7.45,0.9686800894854586,9930,8.05000019073486,3165,692,18
p14,7.983333333333333,8.35,0.9560878243512974,10144,8.22999954223633,3115,728,19
p14,5.45,6.216666666666667,0.8766756032171582,9454,7.67000007629395,3145,729,22
p14,6.866666666666666,7.233333333333333,0.9493087557603687,8161,6.61999988555908,3004,757,23
p14,6.9,7.133333333333334,0.9672897196261683,8614,6.98999977111816,3006,745,24
p14,6.733333333333333,7.483333333333333,0.8997772828507795,6943,5.63000011444092,2859,682,25
p14,8.666666666666666,9.05,0.9576427255985267,14370,11.6499996185303,3683,577,26
p14,8.666666666666666,9.05,0.9576427255985267,14370,11.6499996185303,3683,577,26
p14,7.25,7.633333333333334,0.9497816593886463,8232,6.67999982833862,2990,746,28
p14,6.933333333333334,7.183333333333334,0.9651972157772621,10613,8.60999965667725,3172,701,29
p14,5.9,6.1,0.9672131147540983,9810,7.96000003814697,3069,784,30
p14,6.733333333333333,7.366666666666666,0.9140271493212669,2752,2.23000001907349,1240,241,31
p15,7.35,7.733333333333333,0.9504310344827587,11596,7.57000017166138,2026,767,1
p15,7.583333333333333,8.133333333333333,0.9323770491803278,4832,3.16000008583069,1718,647,2
p15,5.95,6.966666666666667,0.854066985645933,17022,11.1199998855591,2324,693,3
p15,6.283333333333333,6.816666666666666,0.921760391198044,16556,10.8599996566772,2254,689,4
p15,10.85,11.433333333333334,0.9489795918367347,5771,3.76999998092651,1831,521,5
